season,home_team_name,away_team_name,full_time_result,home_goals,away_goals,half_time_HOME_Team_score,half_time_Away_Team_score
2015,West Bromwich Albion,Manchester City,A,0,3,0,2
2015,Aston Villa,Manchester United,A,0,1,0,1
2015,Crystal Palace,Arsenal,A,1,2,1,1
2015,Liverpool,Bournemouth,H,1,0,1,0
2015,Manchester City,Chelsea,H,3,0,1,0
2015,Southampton,Everton,A,0,3,0,2
2015,Sunderland,Norwich,A,1,3,0,2
2015,Swansea,Newcastle United,H,2,0,1,0
2015,Tottenham,Stoke,D,2,2,2,0
2015,Watford,West Bromwich Albion,D,0,0,0,0
2015,West Ham,Leicester,A,1,2,0,2
2015,Arsenal,Aston Villa,H,4,0,1,0
2015,Chelsea,Leicester,D,1,1,0,0
2015,Everton,Norwich,H,3,0,2,0
2015,Manchester United,Bournemouth,H,3,1,1,0
2015,Newcastle United,Tottenham,H,5,1,2,0
2015,Southampton,Crystal Palace,H,4,1,1,0
2015,Stoke,West Ham,H,2,1,0,1
2015,Swansea,Manchester City,D,1,1,1,1
2015,Watford,Sunderland,D,2,2,0,1
2015,West Bromwich Albion,Liverpool,D,1,1,1,1
2015,Manchester City,Crystal Palace,H,4,0,2,0
2015,Newcastle United,Aston Villa,D,1,1,1,0
2015,Sunderland,Bournemouth,D,1,1,1,1
2015,Arsenal,Bournemouth,H,2,0,1,0
2015,Newcastle United,West Ham,H,2,1,2,0
2015,Watford,Manchester City,A,1,2,0,0
2015,Southampton,Tottenham,A,0,2,0,2
2015,Liverpool,Sunderland,D,2,2,0,0
2015,Watford,Newcastle United,H,2,1,0,0
2015,Norwich,Arsenal,D,1,1,1,1
2015,Newcastle United,Stoke,D,0,0,0,0
2015,Stoke,Chelsea,H,1,0,0,0
2015,Watford,Norwich,H,2,0,1,0
2015,Crystal Palace,Swansea,D,0,0,0,0
2015,Southampton,West Bromwich Albion,H,3,0,2,0
2015,West Bromwich Albion,Stoke,H,2,1,0,0
2015,Stoke,Crystal Palace,A,1,2,0,1
2015,Manchester City,Leicester,A,1,3,0,1
2015,West Bromwich Albion,Aston Villa,D,0,0,0,0
2015,Sunderland,Stoke,H,2,0,0,0
2015,Southampton,Bournemouth,H,2,0,2,0
2015,Sunderland,Southampton,A,0,1,0,0
